cpcNumber,productId,styleName,sizeName,designName,groupName,purity,sellByPiece,lotCount
1000L1,1000,,DEFAULT,RG1-C(0.24)N(4.222)-8903R1,DIAMOND,18 Ct/85,0,1
1001L1,1001,,DEFAULT,NP-C(0.19)N(0.612)-8915R1,DIAMOND,18 Ct/85,0,1
1002L1,1002,,DEFAULT,ER-C(0.35)N(2.64)-8919R1,DIAMOND,18 Ct/85,0,1
1003L1,1003,,DEFAULT,ER-C(0.51)N(2.798)-8921R1,DIAMOND,18 Ct/85,0,1
1004L1,1004,,DEFAULT,ER-C(0.56)N(2.618)-8922R1,DIAMOND,18 Ct/85,0,1
1005L1,1005,,DEFAULT,ER-C(0.67)N(3.346)-8923R1,DIAMOND,18 Ct/85,0,1
1006L1,1006,,DEFAULT,ER-C(0.68)N(4.191)-8930R1,DIAMOND,18 Ct/85,0,1
1007L1,1007,,DEFAULT,ER-C(0.69)N(3.132)-8931R1,DIAMOND,18 Ct/85,0,1
1008L1,1008,,DEFAULT,ER-C(0.23)N(1.894)-8932R1,DIAMOND,18 Ct/85,0,1
1009L1,1009,,DEFAULT,ER-C(0.76)N(2.798)-8935R1,DIAMOND,18 Ct/85,0,1
100L1,100,CUBAN CHAIN,DEFAULT,529-10,SILVER,SILVER,0,46
1010L1,1010,,DEFAULT,IT. PENDAN-C(0)N(5.47)-8941R1,DIAMOND,18 Ct/85,0,1
1011L1,1011,,DEFAULT,BRG-C(0.5)N(11.22)-8942R1,DIAMOND,18 Ct/85,0,1
1012L1,1012,,DEFAULT,NS-C(4.72)N(30.526)-8947R1,DIAMOND,18 Ct/85,0,1
1013L1,1013,,DEFAULT,RL1-C(0.13)N(1.344)-8955R1,DIAMOND,18 Ct/85,0,1
1014L1,1014,,DEFAULT,RL1-C(0.18)N(1.694)-8957R1,DIAMOND,18 Ct/85,0,1
1015L1,1015,,DEFAULT,RG-C(0.14)N(1.852)-8958R1,DIAMOND,18 Ct/85,0,1
1016L1,1016,,DEFAULT,TM-C(0.85)N(3.97)-8964R1,DIAMOND,18 Ct/85,0,1
1017L1,1017,,DEFAULT,TM-C(0.72)N(3.976)-8965R1,DIAMOND,18 Ct/85,0,1
1018L1,1018,,DEFAULT,TM-C(0.81)N(3.878)-8966R1,DIAMOND,18 Ct/85,0,1
1019L1,1019,,DEFAULT,TM-C(0.51)N(3.368)-8969R1,DIAMOND,18 Ct/85,0,1
101L1,101,SNAKE CHAIN,DEFAULT,527-10,SILVER,SILVER,0,258
1020L1,1020,,DEFAULT,TM-C(1.31)N(3.432)-8972R1,DIAMOND,18 Ct/85,0,1
1021L1,1021,,DEFAULT,BRACLETL-C(0.64)N(8.792)-8974R1,DIAMOND,18 Ct/85,0,1
1022L1,1022,,DEFAULT,ER-C(0.4)N(2.42)-8975R1,DIAMOND,18 Ct/85,0,1
1023L1,1023,,DEFAULT,ER-C(0.35)N(2.71)-8976R1,DIAMOND,18 Ct/85,0,1
1024L1,1024,,DEFAULT,ER-C(0.64)N(2.322)-8977R1,DIAMOND,18 Ct/85,0,1
1025L1,1025,,DEFAULT,ER-C(0.44)N(3.212)-8978R1,DIAMOND,18 Ct/85,0,1
1026L1,1026,,DEFAULT,RL1-C(0.16)N(2.228)-9188R1,DIAMOND,18 Ct/85,0,1
1027L1,1027,,DEFAULT,RL1-C(0.28)N(3.234)-9190R1,DIAMOND,18 Ct/85,0,1
1028L1,1028,,DEFAULT,RL1-C(0.36)N(3.358)-9191R1,DIAMOND,18 Ct/85,0,1
1029L1,1029,,DEFAULT,RL1-C(0.27)N(2.736)-9192R1,DIAMOND,18 Ct/85,0,1
102L1,102,VIRODYA >5,DEFAULT,557-10,SILVER,SILVER,0,630
1030L1,1030,,DEFAULT,RL1-C(0.18)N(2.134)-9193R1,DIAMOND,18 Ct/85,0,1
1031L1,1031,,DEFAULT,RL1-C(0.4)N(2.57)-9194R1,DIAMOND,18 Ct/85,0,1
1032L1,1032,,DEFAULT,RL1-C(0.42)N(1.626)-9195R1,DIAMOND,18 Ct/85,0,1
1033L1,1033,,DEFAULT,RL1-C(0.17)N(2.546)-9197R1,DIAMOND,18 Ct/85,0,1
1034L1,1034,,DEFAULT,RL1-C(0.15)N(1.95)-9198R1,DIAMOND,18 Ct/85,0,1
1035L1,1035,,DEFAULT,RL1-C(0.27)N(2.836)-9199R1,DIAMOND,18 Ct/85,0,1
